City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Leningradskiy,RU,69.3833,178.4167,36.3,86,22,9.89,few clouds
302,Jambi,ID,-1.6,103.6167,75.16,95,97,4.14,heavy intensity rain
303,Guerrero Negro,MX,27.9769,-114.0611,82.42,50,45,5.68,scattered clouds
304,Madang,PG,-5.2246,145.7966,76.89,90,95,4.16,overcast clouds
305,Mancio Lima,BR,-7.6142,-72.8958,89.67,45,20,5.75,few clouds
306,Benjamin Constant,BR,-4.3831,-70.0311,89.73,55,40,5.75,scattered clouds
307,Pasinler,TR,39.9803,41.6764,67.19,59,83,6.85,broken clouds
308,Tougue,GN,11.4667,-11.6,73.26,88,86,3.0,moderate rain
309,Mizdah,LY,31.4451,12.9801,87.06,17,0,10.07,clear sky
310,Sitka,US,57.0531,-135.33,55.42,91,100,3.74,light rain
311,Harwich,GB,51.9419,1.2844,66.56,79,47,8.01,scattered clouds
312,Almaznyy,RU,48.0448,40.045,69.94,42,28,11.77,scattered clouds
313,Sinnamary,GF,5.3833,-52.95,82.17,81,29,12.84,scattered clouds
314,Sovetskiy,RU,61.3614,63.5842,54.37,81,86,5.39,overcast clouds
315,Husavik,IS,66.0449,-17.3389,66.11,77,100,2.37,light rain
316,Coahuayana,MX,18.7333,-103.6833,92.53,56,94,3.58,overcast clouds
317,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,17.27,broken clouds
318,Rechitsy,RU,55.5978,38.4639,66.58,87,74,6.87,broken clouds
319,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,18.41,broken clouds
320,Geraldton,AU,-28.7667,114.6,55.81,94,40,6.91,scattered clouds
321,Biasca,CH,46.3597,8.9697,87.78,82,40,2.93,scattered clouds
322,Vanimo,PG,-2.6741,141.3028,77.13,90,100,5.32,light rain
323,Vaitape,PF,-16.5167,-151.75,78.1,67,85,15.95,overcast clouds
324,Laramie,US,41.3114,-105.5911,81.16,53,96,1.99,overcast clouds
325,Hue,VN,16.4667,107.6,87.91,51,75,10.36,broken clouds
326,Tisul,RU,55.7611,88.3122,60.49,85,98,6.46,overcast clouds
327,Pochutla,MX,15.7432,-96.4661,91.81,49,38,7.61,scattered clouds
328,Tuatapere,NZ,-46.1333,167.6833,41.83,91,93,5.84,overcast clouds
329,Huallanca,PE,-9.8993,-76.9417,56.93,33,12,10.38,few clouds
330,Port Hedland,AU,-20.3167,118.5667,66.25,48,3,5.75,clear sky
331,Altay,CN,47.8667,88.1167,70.72,51,72,4.68,broken clouds
332,Khartoum,SD,15.5518,32.5324,91.89,43,61,9.98,broken clouds
333,Guaratinga,BR,-16.5667,-39.5667,74.07,60,100,10.07,overcast clouds
334,Kiunga,PG,-6.1219,141.2906,72.84,100,100,1.41,overcast clouds
335,Kampot,KH,10.6167,104.1833,84.25,78,100,8.59,overcast clouds
336,Vitim,RU,59.4511,112.5578,59.07,94,79,2.98,broken clouds
337,Marrakesh,MA,31.6315,-8.0083,109.47,15,75,14.97,broken clouds
338,Luganville,VU,-15.5333,167.1667,77.47,88,100,3.94,overcast clouds
339,Walvis Bay,NA,-22.9575,14.5053,68.95,34,0,4.61,clear sky
340,Padang,ID,-0.9492,100.3543,77.5,86,43,3.29,scattered clouds
341,Sola,VU,-13.8833,167.55,79.77,81,92,15.46,overcast clouds
342,Xuddur,SO,4.1213,43.8894,77.5,50,75,24.7,broken clouds
343,Maningrida,AU,-12.0667,134.2667,70.12,91,5,3.06,clear sky
344,Craigieburn,AU,-37.6,144.95,47.25,89,90,8.05,overcast clouds
345,Ekibastuz,KZ,51.6667,75.3667,75.88,42,0,4.79,clear sky
346,Bom Jesus,BR,-9.0744,-44.3586,92.57,24,2,10.16,clear sky
